id;Format;P;Q;Antican
1116;[2, 2, 2, 1], 0, 1;[[-2, -2, 1, 1, 0, 0, 0], [-2, -2, 0, 0, 1, 1, 0], [-2, -2, 0, 0, 0, 0, 2], [3, -1, 0, -1, 0, -1, 1]];[[0, 0, 1, -1, -1, 1, 0], [0, 1, 2, 0, 2, 0, 1], [-1, 0, 0, -2, 0, -2, -1], [1, 0, 1, 1, 0, 0, 0]];[0, 2, -2, 1]
1117;[2, 2, 2, 1], 0, 1;[[-2, -2, 1, 1, 0, 0, 0], [-2, -2, 0, 0, 1, 1, 0], [-2, -2, 0, 0, 0, 0, 2], [3, 1, 0, -1, 0, -2, 1]];[[1, -1, 0, 0, -1, 1, 0], [0, 0, 2, -2, -1, 1, 0], [0, 1, 2, 0, 1, 1, 1], [1, 0, 1, 1, 0, 0, 0]];[0, 0, 2, 1]
1118;[2, 2, 2, 1], 0, 1;[[-2, -2, 1, 1, 0, 0, 0], [-2, -2, 0, 0, 1, 1, 0], [-2, -2, 0, 0, 0, 0, 2], [3, 1, 0, -1, 0, -1, 1]];[[0, 0, 1, -1, -1, 1, 0], [-1, 1, 1, -1, 1, -1, 0], [0, 1, 1, 1, 1, 1, 1], [1, 0, 1, 1, 0, 0, 0]];[0, 0, 2, 1]
1119;[2, 2, 2, 2], 0, 1;[[-2, -2, 2, 2, 0, 0, 0, 0], [-2, -2, 0, 0, 1, 1, 0, 0], [-2, -2, 0, 0, 0, 0, 1, 1], [3, 1, 1, -1, 0, -1, 0, -1]];[[1, -1, -1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, -1, -1, 1], [0, 0, -1, 1, 1, -1, 1, -1], [1, 0, 0, 1, 1, 1, 1, 1], [1, 0, 0, 0, 1, 1, 0, 0]];[0, 0, 0, 2, 1]
1120;[2, 2, 2, 2], 0, 1;[[-2, -1, 1, 1, 0, 0, 0, 0], [-2, -1, 0, 0, 1, 1, 0, 0], [-2, -1, 0, 0, 0, 0, 1, 1], [5, 1, 0, -1, 0, -1, 0, -1]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 1, 1, 0, 0, 1, 1, 0], [0, 0, 1, -1, 0, 0, -1, 1], [1, -1, 0, 1, -1, 2, 0, 1]];[0, 2, 0, 1]
1121;[2, 2, 2, 2], 0, 1;[[-2, -1, 1, 1, 0, 0, 0, 0], [-2, -1, 0, 0, 1, 1, 0, 0], [-2, -1, 0, 0, 0, 0, 1, 2], [5, 1, 0, -1, 0, -1, 0, -3]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 1, 1, 0, 0, 1, 1, 0], [1, -1, 1, 0, 0, 1, -1, 1], [1, -1, -1, 2, -1, 2, 1, 0]];[0, 2, 0, 1]
1122;[2, 2, 2, 2], 0, 1;[[-2, -1, 1, 1, 0, 0, 0, 0], [-2, -1, 0, 0, 1, 1, 0, 0], [-2, -1, 0, 0, 0, 0, 1, 3], [5, 1, 0, -1, 0, -1, 0, -4]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 1, 1, 0, 0, 1, 1, 0], [1, -1, -1, 2, -1, 2, 1, 0], [1, 0, 2, 0, 1, 1, -1, 1]];[0, 2, 1, 1]
1123;[2, 2, 2, 2], 0, 1;[[-2, -1, 1, 1, 0, 0, 0, 0], [-2, -1, 0, 0, 1, 1, 0, 0], [-2, -1, 0, 0, 0, 0, 1, 1], [5, 2, 0, -1, 0, -1, 0, -1]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 1], [1, -1, 0, 1, 0, 1, 0, 1], [0, 0, 0, 0, -1, 1, 1, -1]];[0, 2, 1, 0]
1124;[2, 2, 2, 2], 0, 1;[[-2, -2, 1, 1, 0, 0, 0, 0], [-2, -2, 0, 0, 1, 1, 0, 0], [-2, -2, 0, 0, 0, 0, 1, 1], [5, 1, 0, -1, 0, -1, 0, -1]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 1, -1, 0, 0, -1, 1], [0, 1, 2, 0, 1, 1, 2, 0], [1, 0, 1, 1, 0, 2, 0, 2]];[0, 0, 3, 3]
1125;[2, 2, 2, 2], 0, 1;[[-2, -2, 1, 1, 0, 0, 0, 0], [-2, -2, 0, 0, 1, 1, 0, 0], [-2, -2, 0, 0, 0, 0, 1, 1], [5, 3, 0, -1, 0, -1, 0, -2]];[[0, 0, 1, -1, -1, 1, 0, 0], [-1, 1, 1, -1, 1, -1, 0, 0], [1, -1, 0, 0, 0, 0, -1, 1], [0, 1, 2, 0, 1, 1, 1, 1]];[0, 0, 0, 3]
1126;[2, 2, 2, 2], 0, 1;[[-2, -2, 1, 1, 0, 0, 0, 0], [-2, -2, 0, 0, 1, 1, 0, 0], [-2, -2, 0, 0, 0, 0, 1, 1], [5, 3, 0, -1, 0, -1, 0, -1]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 1, -1, 0, 0, -1, 1], [-1, 1, 1, -1, 0, 0, 1, -1], [0, 1, 1, 1, 1, 1, 1, 1]];[0, 0, 0, 3]
1127;[2, 2, 2, 2], 0, 1;[[-2, -2, 1, 1, 0, 0, 0, 0], [-2, -2, 0, 0, 1, 1, 0, 0], [-2, -2, 0, 0, 0, 0, 1, 2], [5, 3, 0, -1, 0, -1, 0, -3]];[[0, 0, 1, -1, -1, 1, 0, 0], [-1, 1, 1, -1, 1, -1, 0, 0], [1, 0, 1, 1, 1, 1, 0, 1], [-1, 1, 0, 0, -1, 1, 2, -1]];[0, 0, 2, 1]
1128;[2, 2, 1, 1], 0, 1;[[-3, -3, 1, 1, 0, 0], [-3, -3, 0, 0, 2, 0], [-3, -3, 0, 0, 0, 2], [-1, -2, 0, -1, 1, 1]];[[-1, 1, 1, -1, 0, 0], [1, 1, 3, 3, 3, 3], [0, 0, 1, 1, 0, 1]];[0, 2, 1]
1129;[2, 2, 2, 2], 1, 1;[[-3, -1, 1, 1, 0, 0, 0, 0, 0], [-3, -1, 0, 0, 1, 1, 0, 0, 0], [-3, -1, 0, 0, 0, 0, 1, 1, 0], [2, -1, 0, -1, 0, -1, 0, -1, 1]];[[0, 0, 1, -1, -1, 1, 0, 0, 0], [0, 0, 1, -1, 0, 0, -1, 1, 0], [0, 0, 0, 0, -1, 1, 0, 0, 1], [0, 1, 1, 0, 1, 0, 1, 0, 1], [1, -1, 1, 1, 1, 1, 1, 1, 0]];[0, 0, 1, 3, 2]
1130;[2, 2, 2, 1], 0, 1;[[-3, -3, 1, 1, 0, 0, 0], [-3, -3, 0, 0, 1, 1, 0], [-3, -3, 0, 0, 0, 0, 2], [2, 1, 0, -1, 0, -1, 1]];[[-1, 1, 1, -1, 0, 0, 0], [0, 0, 1, -1, -1, 1, 0], [1, 1, 3, 3, 3, 3, 3]];[0, 0, 5]
1131;[2, 2, 2, 1], 0, 1;[[-3, -3, 1, 1, 0, 0, 0], [-3, -3, 0, 0, 1, 1, 0], [-3, -3, 0, 0, 0, 0, 3], [2, 1, 0, -1, 0, -1, 2]];[[-1, 1, 1, -1, 0, 0, 0], [0, 0, 1, -1, -1, 1, 0], [0, 1, 2, 1, 1, 2, 1], [1, 0, 1, 2, 0, 0, 0]];[0, 0, 2, 1]
1132;[2, 2, 2, 2], 1, 1;[[-3, -3, 1, 1, 0, 0, 0, 0, 0], [-3, -3, 0, 0, 1, 1, 0, 0, 0], [-3, -3, 0, 0, 0, 0, 1, 1, 0], [2, 1, 0, -1, 0, -1, 0, -1, 1]];[[-1, 1, 1, -1, 0, 0, 0, 0, 0], [0, 0, 1, -1, -1, 1, 0, 0, 0], [0, 0, 1, -1, 0, 0, -1, 1, 0], [-1, 1, 0, 0, 0, 0, 0, 0, 1], [1, 0, 2, 1, 2, 1, 2, 1, 1]];[0, 0, 0, 1, 5]
1133;[2, 2, 2, 2], 0, 1;[[-3, -3, 3, 3, 0, 0, 0, 0], [-3, -3, 0, 0, 1, 1, 0, 0], [-3, -3, 0, 0, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1, 0, -1]];[[1, -1, -1, 1, 0, 0, 0, 0], [1, -1, 0, 0, -1, 1, 0, 0], [1, -1, 0, 0, 0, 0, -1, 1], [1, 0, 0, 1, 2, 1, 1, 2], [2, 2, 0, 0, 0, 0, 0, 0]];[0, 0, 0, 2, 1]
1134;[2, 2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0, 0, 0], [-3, -3, 0, 0, 1, 1, 0, 0], [-3, -3, 0, 0, 0, 0, 1, 1], [5, 4, 0, -1, 0, -1, 0, -1]];[[-1, 1, 1, -1, 0, 0, 0, 0], [0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 1, -1, 0, 0, -1, 1], [0, 1, 2, 1, 2, 1, 1, 2]];[0, 0, 0, 4]
1135;[2, 2, 2, 2], 0, 1;[[-3, -5, 1, 1, 0, 0, 0, 0], [-3, -5, 0, 0, 1, 1, 0, 0], [-3, -5, 0, 0, 0, 0, 1, 1], [5, 7, 0, -1, 0, -1, 0, -1]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 1, -1, 0, 0, -1, 1], [-1, 1, 2, 0, 1, 1, 1, 1], [2, -1, 0, 1, 0, 1, 0, 1]];[0, 0, 2, 2]
1136;[2, 2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0, 0, 0], [-3, -1, 0, 0, 1, 1, 0, 0], [-3, -1, 0, 0, 0, 0, 1, 1], [7, 1, 0, -1, 0, -1, 0, -1]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 1, 1, 0, 0, 1, 1, 0], [0, 0, 1, -1, 0, 0, -1, 1], [1, -1, 0, 2, 0, 2, 0, 2]];[0, 2, 0, 2]
1137;[2, 2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0, 0, 0], [-3, -1, 0, 0, 1, 1, 0, 0], [-3, -1, 0, 0, 0, 0, 1, 3], [7, 1, 0, -1, 0, -1, 0, -4]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 1, 1, 0, 0, 1, 1, 0], [1, -1, 1, 1, 1, 1, -1, 1], [1, -2, -1, 2, -2, 3, 1, 0]];[0, 2, 0, 0]
1138;[2, 2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0, 0, 0], [-3, -1, 0, 0, 1, 1, 0, 0], [-3, -1, 0, 0, 0, 0, 1, 1], [8, 1, 0, -1, 0, -1, 0, -1]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 1, 1, 0, 0, 1, 1, 0], [0, 0, 1, -1, 0, 0, -1, 1], [1, -1, 0, 2, -1, 3, 0, 2]];[0, 2, 0, 2]
1139;[2, 2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0, 0, 0], [-3, -1, 0, 0, 1, 1, 0, 0], [-3, -1, 0, 0, 0, 0, 1, 2], [8, 1, 0, -1, 0, -1, 0, -3]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 1, 1, 0, 0, 1, 1, 0], [1, -1, 0, 2, 0, 2, 0, 1], [0, -1, -2, 1, -2, 1, 1, -1]];[0, 2, 1, -1]
1140;[2, 2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0, 0, 0], [-3, -1, 0, 0, 1, 1, 0, 0], [-3, -1, 0, 0, 0, 0, 1, 3], [8, 1, 0, -1, 0, -1, 0, -5]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 1, 1, 0, 0, 1, 1, 0], [1, -1, 1, 1, 1, 1, -1, 1], [1, -2, -2, 3, -2, 3, 1, 0]];[0, 2, 0, 0]
1141;[2, 2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0, 0, 0], [-3, -1, 0, 0, 1, 1, 0, 0], [-3, -1, 0, 0, 0, 0, 1, 1], [8, 2, 0, -1, 0, -1, 0, -1]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 1, 0, 1, 0, 1, 1, 0], [0, 1, 1, 0, 0, 1, 0, 1], [1, -2, 0, 1, -1, 2, 0, 1]];[0, 2, 2, 0]
1142;[2, 2, 2, 2], 0, 1;[[-3, -2, 1, 1, 0, 0, 0, 0], [-3, -2, 0, 0, 1, 1, 0, 0], [-3, -2, 0, 0, 0, 0, 1, 1], [8, 5, 0, -1, 0, -1, 0, -1]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 1, -1, 0, 0, -1, 1], [-1, 1, 0, -1, 0, -1, 0, -1], [-1, 2, 1, 0, 0, 1, 0, 1]];[0, 0, -1, 2]
1143;[2, 2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0, 0, 0], [-3, -3, 0, 0, 1, 1, 0, 0], [-3, -3, 0, 0, 0, 0, 1, 1], [8, 7, 0, -1, 0, -2, 0, -2]];[[-1, 1, 1, -1, 0, 0, 0, 0], [1, -1, 1, -1, -1, 1, 0, 0], [0, 0, 0, 0, 1, -1, -1, 1], [0, 1, 2, 1, 2, 1, 1, 2]];[0, 0, 0, 4]
1144;[2, 2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0, 0, 0], [-3, -3, 0, 0, 1, 1, 0, 0], [-3, -3, 0, 0, 0, 0, 1, 1], [8, 7, 0, -1, 0, -1, 0, -3]];[[-1, 1, 1, -1, 0, 0, 0, 0], [0, 0, 1, -1, -1, 1, 0, 0], [1, -1, 1, -1, 1, -1, -1, 1], [1, 0, 2, 1, 2, 1, 1, 2]];[0, 0, 0, 4]
1145;[2, 2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0, 0, 0], [-3, -3, 0, 0, 1, 1, 0, 0], [-3, -3, 0, 0, 0, 0, 1, 1], [8, 7, 0, -1, 0, -1, 0, -2]];[[-1, 1, 1, -1, 0, 0, 0, 0], [0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 1, -1, 1, -1, -1, 1], [0, 1, 2, 1, 1, 2, 1, 2]];[0, 0, 0, 4]
1146;[2, 2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0, 0, 0], [-3, -3, 0, 0, 1, 1, 0, 0], [-3, -3, 0, 0, 0, 0, 1, 1], [8, 7, 0, -1, 0, -1, 0, -1]];[[-1, 1, 1, -1, 0, 0, 0, 0], [0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 1, -1, 0, 0, -1, 1], [-1, 2, 1, 2, 1, 2, 1, 2]];[0, 0, 0, 4]
1147;[2, 2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0, 0, 0], [-3, -3, 0, 0, 1, 1, 0, 0], [-3, -3, 0, 0, 0, 0, 1, 2], [8, 7, 0, -1, 0, -1, 0, -3]];[[-1, 1, 1, -1, 0, 0, 0, 0], [0, 0, 1, -1, -1, 1, 0, 0], [1, -1, 1, -1, 1, -1, -2, 1], [0, 1, 1, 2, 1, 2, 1, 1]];[0, 0, -1, 3]
1148;[2, 2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0, 0, 0], [-3, -3, 0, 0, 1, 1, 0, 0], [-3, -3, 0, 0, 0, 0, 1, 3], [8, 7, 0, -1, 0, -1, 0, -5]];[[-1, 1, 1, -1, 0, 0, 0, 0], [0, 0, 1, -1, -1, 1, 0, 0], [0, 1, 2, 1, 2, 1, 0, 1], [-2, 2, -1, 1, -2, 2, 3, -1]];[0, 0, 2, 2]
1149;[2, 2, 2, 2], 0, 1;[[-3, -4, 1, 1, 0, 0, 0, 0], [-3, -4, 0, 0, 1, 1, 0, 0], [-3, -4, 0, 0, 0, 0, 1, 1], [8, 9, 0, -1, 0, -1, 0, -1]];[[-1, 1, 0, 1, 1, 0, 1, 0], [0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 1, -1, 0, 0, -1, 1], [2, -1, 0, 2, -1, 3, 0, 2]];[1, 0, 0, 3]
1150;[2, 2, 2, 2], 0, 1;[[-3, -5, 1, 1, 0, 0, 0, 0], [-3, -5, 0, 0, 1, 1, 0, 0], [-3, -5, 0, 0, 0, 0, 1, 1], [8, 11, 0, -1, 0, -1, 0, -1]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 1, -1, 0, 0, -1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [2, -1, 0, 1, -1, 2, -1, 2]];[0, 0, 2, 2]
1151;[2, 2, 2, 2], 1, 1;[[-4, -1, 1, 1, 0, 0, 0, 0, 0], [-4, -1, 0, 0, 1, 1, 0, 0, 0], [-4, -1, 0, 0, 0, 0, 1, 1, 0], [3, -1, 0, -1, 0, -1, 0, -1, 1]];[[0, 0, 1, -1, -1, 1, 0, 0, 0], [0, 0, 1, -1, 0, 0, -1, 1, 0], [0, 0, 0, 0, -1, 1, 0, 0, 1], [0, 1, 1, 0, 1, 0, 1, 0, 1], [1, -2, 1, 1, 0, 2, 1, 1, -1]];[0, 0, 1, 3, 0]
1152;[2, 2, 2, 2], 1, 1;[[-4, -3, 1, 1, 0, 0, 0, 0, 0], [-4, -3, 0, 0, 1, 1, 0, 0, 0], [-4, -3, 0, 0, 0, 0, 1, 1, 0], [3, 1, 0, -1, 0, -1, 0, -1, 1]];[[0, 0, 1, -1, -1, 1, 0, 0, 0], [0, 0, 1, -1, 0, 0, -1, 1, 0], [0, 0, 0, 0, -1, 1, 0, 0, 1], [-1, 1, 0, -1, -1, 0, 0, -1, 0], [-1, 2, 2, 0, 1, 1, 2, 0, 2]];[0, 0, 1, -1, 5]
1153;[2, 2, 2, 2], 1, 1;[[-4, -5, 1, 1, 0, 0, 0, 0, 0], [-4, -5, 0, 0, 1, 1, 0, 0, 0], [-4, -5, 0, 0, 0, 0, 1, 1, 0], [3, 3, 0, -1, 0, -1, 0, -1, 1]];[[-1, 1, 1, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, -1, 1, 0, 0, 1], [0, 0, 1, -1, 0, 0, 0, 0, -1], [0, 0, 0, 0, 0, 0, -1, 1, 1], [3, -2, 1, 1, 1, 1, 1, 1, 0]];[1, 1, -1, 1, 3]
1154;[2, 2, 2, 2], 0, 1;[[-5, -4, 1, 1, 0, 0, 0, 0], [-5, -4, 0, 0, 1, 1, 0, 0], [-5, -4, 0, 0, 0, 0, 1, 1], [12, 9, 0, -1, 0, -1, 0, -1]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 1, -1, 0, 0, -1, 1], [-1, 1, 0, -1, 0, -1, 0, -1], [-2, 3, 1, 1, 1, 1, 1, 1]];[0, 0, -1, 3]
1155;[2, 2, 2, 2], 0, 1;[[-5, -5, 1, 1, 0, 0, 0, 0], [-5, -5, 0, 0, 1, 1, 0, 0], [-5, -5, 0, 0, 0, 0, 1, 1], [12, 11, 0, -1, 0, -1, 0, -1]];[[-1, 1, 1, -1, 0, 0, 0, 0], [0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 1, -1, 0, 0, -1, 1], [-1, 2, 2, 3, 2, 3, 1, 4]];[0, 0, 0, 6]
1156;[2, 2, 2, 2], 0, 1;[[-7, -5, 1, 1, 0, 0, 0, 0], [-7, -5, 0, 0, 1, 1, 0, 0], [-7, -5, 0, 0, 0, 0, 1, 1], [16, 11, 0, -1, 0, -1, 0, -1]];[[0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 1, -1, 0, 0, -1, 1], [-2, 3, 1, 0, 0, 1, 1, 0], [-1, 1, 0, -2, -1, -1, 0, -2]];[0, 0, 2, -2]
1157;[3, 2, 1, 1], 0, 1;[[-1, -2, -1, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 2, 0], [-1, -2, -1, 0, 0, 0, 2], [1, -1, -2, 0, -1, 1, 1]];[[1, -1, 1, 0, 0, 0, 0], [0, 1, 0, 1, 1, 1, 1], [-1, 0, 1, 3, -3, 0, 0], [0, 0, 0, 1, 1, 1, 0]];[1, 1, 0, 1]
1158;[3, 2, 2, 1], 0, 1;[[-1, -2, -1, 1, 1, 0, 0, 0], [-1, -2, -1, 0, 0, 1, 1, 0], [-1, -2, -1, 0, 0, 0, 0, 2], [2, 1, -1, 0, -1, 0, -1, 1]];[[1, -1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 1, -1, -1, 1, 0], [-1, 0, 1, 2, -2, 1, -1, 0], [0, 1, 0, 1, 1, 1, 1, 1]];[1, 0, 0, 2]
1159;[3, 2, 2, 1], 0, 1;[[-1, -2, -1, 1, 1, 0, 0, 0], [-1, -2, -1, 0, 0, 1, 1, 0], [-1, -2, -1, 0, 0, 0, 0, 3], [2, 1, -1, 0, -1, 0, -1, 2]];[[1, -1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 1, -1, -1, 1, 0], [-1, 0, 1, 2, -2, 1, -1, 0], [0, 1, 1, 2, 1, 2, 1, 1]];[1, 0, 0, 3]
1160;[3, 2, 2, 2], 0, 1;[[-1, -2, -1, 3, 3, 0, 0, 0, 0], [-1, -2, -1, 0, 0, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 0, 0, 1, 1], [2, 1, -1, 2, 1, 0, -1, 0, -1]];[[1, -1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 1, 1, -1, 0, 0], [0, 0, 0, 0, 0, 1, -1, -1, 1], [-1, 0, 1, 1, -1, 1, -1, 1, -1], [0, 1, 1, 1, 0, 2, 1, 2, 1]];[1, 0, 0, 0, 3]
1161;[3, 2, 2, 1], 0, 1;[[-1, -2, -2, 1, 1, 0, 0, 0], [-1, -2, -2, 0, 0, 1, 1, 0], [-1, -2, -2, 0, 0, 0, 0, 2], [2, 1, -1, 0, -1, 0, -1, 1]];[[0, 0, 0, 1, -1, -1, 1, 0], [0, -1, 1, 1, -1, 1, -1, 0], [-2, 2, -1, 1, -1, 0, 0, 0], [0, 1, 0, 1, 1, 1, 1, 1]];[0, 0, -1, 2]
1162;[3, 2, 2, 1], 0, 1;[[-1, -3, -1, 1, 1, 0, 0, 0], [-1, -3, -1, 0, 0, 1, 1, 0], [-1, -3, -1, 0, 0, 0, 0, 3], [2, 1, -1, 0, -1, 0, -1, 2]];[[0, 0, 0, 1, -1, -1, 1, 0], [2, -1, 1, -1, 1, -1, 1, 0], [1, -1, 2, 1, -1, 0, 0, 0], [0, 1, 0, 2, 1, 1, 2, 1]];[0, 2, 2, 2]
1163;[3, 2, 2, 1], 0, 1;[[-1, -3, -1, 1, 1, 0, 0, 0], [-1, -3, -1, 0, 0, 1, 1, 0], [-1, -3, -1, 0, 0, 0, 0, 2], [2, 2, -1, 0, -1, 0, -1, 1]];[[0, 0, 0, 1, -1, -1, 1, 0], [2, -1, 1, 0, 0, -1, 1, 0], [1, -1, 2, 1, -1, 1, -1, 0], [1, 0, 1, 1, 1, 1, 1, 1]];[0, 2, 2, 3]
1164;[3, 2, 2, 1], 0, 1;[[-1, -3, -3, 1, 1, 0, 0, 0], [-1, -3, -3, 0, 0, 1, 1, 0], [-1, -3, -3, 0, 0, 0, 0, 2], [2, 2, 1, 0, -1, 0, -1, 1]];[[0, -1, 1, 1, -1, 0, 0, 0], [0, 0, 0, 1, -1, -1, 1, 0], [-1, 1, 0, 2, 0, 1, 1, 1], [-2, 1, -1, 0, -2, 0, -2, -1]];[0, 0, 1, -3]
1165;[3, 2, 2, 1], 0, 1;[[-1, -3, -3, 1, 1, 0, 0, 0], [-1, -3, -3, 0, 0, 1, 1, 0], [-1, -3, -3, 0, 0, 0, 0, 3], [2, 2, 1, 0, -1, 0, -1, 1]];[[0, -1, 1, 1, -1, 0, 0, 0], [0, 0, 0, 1, -1, -1, 1, 0], [0, 0, 1, 2, 1, 2, 1, 1], [-3, 2, -1, 2, -2, 1, -1, 0]];[0, 0, 2, -2]
1166;[3, 2, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0, 0, 0], [-1, -2, -1, 0, 0, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 0, 0, 1, 1], [3, 3, 0, 0, -1, 0, -1, 0, -1]];[[1, -1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 1, 1, 0, 1, 0, 1, 0], [0, 0, 0, 1, -1, 0, 0, -1, 1], [-1, 0, 0, 0, -1, 0, -1, 0, -1]];[1, 0, 2, 0, -2]
1167;[3, 2, 2, 2], 0, 1;[[-1, -2, -2, 1, 1, 0, 0, 0, 0], [-1, -2, -2, 0, 0, 1, 1, 0, 0], [-1, -2, -2, 0, 0, 0, 0, 1, 1], [3, 3, 1, 0, -1, 0, -1, 0, -1]];[[0, 0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 0, 1, -1, 0, 0, -1, 1], [0, -1, 1, 1, -1, 0, 0, 1, -1], [1, 0, 0, 0, 1, 0, 1, 0, 1], [-1, 1, 0, 1, 0, 1, 0, 1, 0]];[0, 0, 0, 2, 1]
1168;[3, 2, 2, 2], 0, 1;[[-1, -3, -1, 1, 1, 0, 0, 0, 0], [-1, -3, -1, 0, 0, 1, 1, 0, 0], [-1, -3, -1, 0, 0, 0, 0, 1, 1], [3, 5, 0, 0, -1, 0, -1, 0, -1]];[[0, 0, 0, 1, -1, -1, 1, 0, 0], [2, -1, 1, 0, 0, -1, 1, 0, 0], [0, 0, 1, 1, 0, 1, 0, 1, 0], [1, 0, 0, 0, 1, 0, 1, 0, 1], [0, 0, 0, 1, -1, 0, 0, -1, 1]];[0, 2, 2, 2, 0]
1169;[3, 2, 2, 2], 0, 1;[[-1, -3, -3, 1, 1, 0, 0, 0, 0], [-1, -3, -3, 0, 0, 1, 1, 0, 0], [-1, -3, -3, 0, 0, 0, 0, 1, 1], [3, 5, 4, 0, -1, 0, -1, 0, -2]];[[0, -1, 1, 1, -1, 0, 0, 0, 0], [0, 0, 0, 1, -1, -1, 1, 0, 0], [1, 0, 0, 1, 0, 0, 1, 0, 1], [0, -1, 1, 0, 0, -1, 1, 1, -1], [-1, 1, 0, 1, 1, 1, 1, 2, 0]];[0, 0, 2, 0, 2]
1170;[3, 2, 2, 2], 0, 1;[[-1, -3, -3, 1, 1, 0, 0, 0, 0], [-1, -3, -3, 0, 0, 1, 1, 0, 0], [-1, -3, -3, 0, 0, 0, 0, 1, 1], [3, 5, 4, 0, -1, 0, -1, 0, -1]];[[0, -1, 1, 1, -1, 0, 0, 0, 0], [0, 0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 0, 1, -1, 0, 0, -1, 1], [1, 0, 0, 0, 1, 0, 1, 0, 1], [-1, 1, 0, 2, 0, 1, 1, 1, 1]];[0, 0, 0, 2, 2]
1171;[3, 2, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0, 0, 0], [-1, -2, -1, 0, 0, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 0, 0, 1, 1], [4, 1, -1, 0, -1, 0, -1, 0, -1]];[[0, 0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 0, 1, -1, 0, 0, -1, 1], [1, -1, 1, 0, 0, -1, 1, -1, 1], [0, 1, -1, 1, 0, 0, 1, 0, 1], [0, 0, 1, 2, -1, 1, 0, 1, 0]];[0, 0, 1, 1, 2]
1172;[3, 2, 2, 2], 0, 1;[[-1, -2, -1, 1, 1, 0, 0, 0, 0], [-1, -2, -1, 0, 0, 1, 1, 0, 0], [-1, -2, -1, 0, 0, 0, 0, 1, 1], [4, 3, -1, 0, -1, 0, -1, 0, -1]];[[1, -1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, -1, -1, 1, 0, 0], [0, 0, 0, 1, -1, 0, 0, -1, 1], [0, 0, 1, 2, -1, 1, 0, 1, 0], [-1, 0, 0, 1, -2, 0, -1, 0, -1]];[1, 0, 0, 2, -2]
